"","MinBin","WIL","HIL","GSP","FTA","FTB","HUM","HWA","PMR","SSG"
"1",1590,0,1,0,0,0,0,0,0,0
"2",1595,0,0,0,0,0,0,0,0,0
"3",1600,0,1,0,0,0,0,0,0,0
"4",1605,0,0,0,0,0,0,0,0,0
"5",1610,0,0,0,0,0,0,0,0,0
"6",1615,0,0,0,0,0,0,0,0,0
"7",1620,0,0,0,0,0,0,0,0,0
"8",1625,0,1,0,0,0,0,0,0,0
"9",1630,0,0,0,0,0,0,0,0,0
"10",1635,0,1,0,0,0,0,0,0,0
"11",1640,0,0,0,0,0,0,0,0,0
"12",1645,0,0,0,0,0,0,0,0,0
"13",1650,0,0,0,0,1,0,0,0,0
"14",1655,0,2,0,0,0,0,0,0,0
"15",1660,0,0,0,0,0,0,0,0,0
"16",1665,0,1,0,0,0,0,0,1,0
"17",1670,0,2,0,0,0,0,0,0,0
"18",1675,0,0,0,0,0,0,0,0,0
"19",1680,0,2,0,0,0,0,0,0,0
"20",1685,0,5,0,0,0,0,0,0,0
"21",1690,0,6,0,0,0,0,0,0,0
"22",1695,0,3,0,0,0,0,0,0,0
"23",1700,1,4,0,0,0,0,0,0,1
"24",1705,0,7,0,0,0,0,0,0,0
"25",1710,0,7,0,0,0,0,0,0,0
"26",1715,0,2,0,0,0,0,0,0,0
"27",1720,1,4,0,0,1,0,0,1,1
"28",1725,0,2,0,0,0,0,0,0,0
"29",1730,0,5,2,0,0,0,0,0,0
"30",1735,0,6,0,0,0,0,0,0,0
"31",1740,0,3,0,0,0,0,0,0,0
"32",1745,0,1,1,1,1,0,0,0,0
"33",1750,0,2,0,0,0,0,0,0,0
"34",1755,0,5,0,0,0,0,0,2,0
"35",1760,0,10,1,1,0,0,0,0,0
"36",1765,0,3,0,0,0,0,0,0,0
"37",1770,0,12,0,0,0,0,0,2,0
"38",1775,1,6,1,1,0,0,0,0,0
"39",1780,0,13,0,0,0,0,0,0,0
"40",1785,0,10,0,0,0,0,0,0,0
"41",1790,2,11,0,0,0,0,0,0,0
"42",1795,1,13,2,0,0,0,0,1,0
"43",1800,1,8,1,0,0,0,0,0,0
"44",1805,3,8,0,1,0,0,0,1,0
"45",1810,3,19,0,0,0,0,0,0,0
"46",1815,1,13,1,1,0,0,0,1,0
"47",1820,1,18,1,0,0,0,0,1,0
"48",1825,6,19,2,0,1,0,0,0,0
"49",1830,3,14,2,0,0,0,0,2,0
"50",1835,3,21,0,1,0,0,0,2,0
"51",1840,0,32,3,0,0,0,0,0,0
"52",1845,2,26,6,0,0,0,0,2,0
"53",1850,5,21,4,0,0,0,0,3,1
"54",1855,5,26,1,1,0,0,0,1,1
"55",1860,6,32,0,2,0,0,0,1,0
"56",1865,5,28,2,2,2,0,0,2,1
"57",1870,1,31,2,1,0,0,0,1,1
"58",1875,2,26,1,1,3,0,0,3,1
"59",1880,5,35,1,2,3,0,0,5,1
"60",1885,6,35,3,5,1,0,0,3,0
"61",1890,5,33,2,4,1,0,0,3,2
"62",1895,8,36,2,1,2,0,0,3,2
"63",1900,8,41,3,4,5,0,0,5,0
"64",1905,8,33,4,1,2,0,0,2,1
"65",1910,12,38,6,6,7,0,0,0,0
"66",1915,11,20,6,5,4,0,0,6,1
"67",1920,15,38,5,3,12,0,0,6,2
"68",1925,20,30,6,4,8,0,1,6,1
"69",1930,11,30,3,8,5,2,0,6,9
"70",1935,23,24,7,7,12,5,0,12,4
"71",1940,21,32,1,7,8,3,0,8,1
"72",1945,19,42,5,11,6,5,1,3,1
"73",1950,36,30,2,7,3,14,1,6,1
"74",1955,44,29,3,13,9,8,2,10,4
"75",1960,167,244,4,8,8,7,6,5,9
"76",1965,534,390,4,6,7,9,6,12,10
"77",1970,406,169,13,21,13,6,8,13,12
"78",1975,150,62,9,39,21,16,21,22,15
"79",1980,37,71,22,26,24,19,26,23,18
"80",1985,9,7,14,22,27,15,12,24,10
"81",1990,6,0,12,14,19,13,14,2,3
"82",1995,0,0,6,7,22,31,11,4,12
"83",2000,0,0,8,4,6,16,5,0,10
"84",2005,0,0,2,0,0,1,0,0,0
"85",2010,0,0,1,0,0,0,0,0,0
